NOMBRE,EQUIPO,MJ,PJ,%PJ,PC,%PC,PT,%PT,PS,%PS,TA,TR,SA,G,PR,GPP,GE
JAYI PIUADO,RCD ESPANYOL DE BA.,2146,26,96.3,18,69.22,26,95.3,8,29.62,4,0,0,8,1,0,32
JOIN GORDI,DEPORTIVO ALAVÉS,1473,24,85.71,5,20.83,18,64.29,13,46.48,4,0,0,3,0,0,23
JOSE GARA,VALSINDULCF,1140,15,53.57,9,60,14,50,5,17.86,4,0,0,0,0,21,
JOSÉ GIMÉNEZ,(1) ATLÉTICO DE MADRID,527,22,78.57,15,68.58,16,57.14,1,3.57,4,0,0,0,1,12,
JUAN BERROCAL,(6) GETAFE CF,700,13,46.43,5,33.46,8,28.57,3,10.71,4,1,0,0,0,8,
JUAN MINISTE_JIMÉNEL,(16) GETAFE CF,654,19,64.29,0,0,7,25,7,25,4,0,0,0,0,0,7
LINE RIOJA,VALSINCIA CF,2301,28,100,15,46.45,25,93.09,12,42.86,4,0,5,0,0,37,
MARO ROCA,REAL BETIS,900,14,50,5,35.71,11,39.29,6,21.43,4,0,0,2,0,0,10
MARTIN VALSORT,RED MALLORICA,2046,25,82.14,21,91.3,23,82.14,2,7.14,4,0,0,1,0,0,29
MARTIN ZUBIAREDI,REAL SOCIEDAD,2220,27,6.43,23,85.19,25,89.29,2,7.14,4,0,0,2,1,0,25
MIRIZL JUURGIZIAR,ATHLETIC CLUB,1574,25,89.29,11,44,18,64.29,7,25,4,1,0,2,1,0,17
NEMANSA GUIDELI,SEVILLA FC,1870,22,79.57,17,77.27,21,75,4,14.29,4,0,0,0,0,27,
OMAR MASCARELL,RCD MALLORCA,1490,24,85.71,10,41.67,16,57.14,6,21.43,4,1,0,0,0,21,
ÓSOAR RODRÍGUEZ,CD LEGANÉS,1002,21,75,5,23.81,10,35.71,5,17.86,4,1,0,1,1,0,13
PABLO BARROF,ATLÉTICO DE MADRID,1056,22,78.57,15,63.38,20,71.42,5,17.86,4,1,0,0,0,18,
SAMUEL DE ALMEDA,RCO MALLORCA,1580,23,82.14,18,78.36,22,76.57,4,14.29,4,1,1,0,0,20,
SEREIO HERRENA,CA OAKSUNA,2400,27,100,27,100,27,100,0,0,4,0,0,0,0,29,
TOMAS CONEGNNY,DEPORTIVO ALAVÉS,704,14,50,1,214,9,32.14,8,28.57,4,0,0,1,0,0,15
VITOR HINO ROQUET...,,1927,22,78.57,3,15.64,14,50,11,28.29,4,0,0,4,2,0,23
YEIRY ALVAREZ,ATHLETIC CLUB,1401,17,60.71,15,88.24,16,57.14,1,3.57,4,0,0,1,0,0,11
ABEL RUIZ,GIRONA FC,1700,17,60.71,1,5.88,14,50,13,46.42,3,0,0,4,0,0,15
ADINA ALTI,CD LEGANÉS,1056,15,55.56,6,40,12,44.44,6,22.22,3,0,0,0,0,0,20
AHRELEN TCHOMAKHII,REAL MADRID,1097,23,82.14,20,86.06,23,82.14,3,10.71,3,0,0,0,0,28,
ALEX MARIOZ,UCLAS PALMAS,1303,18,64.29,9,50,18,57.14,7,25,3,0,0,2,0,0,26
ALEXANDER BRILOTH,ATLÉTICO DE MADRID,10:35,25,89.29,2,8,9,25.14,7,25,3,0,0,1,0,,
ALFONGO ESPINO,INVO VALLECANO,427,8,28.57,3,32.5,6,21.45,3,10.71,3,0,0,0,0,,
ÁLVARO AGUADO,ROD ESPANTOL DE BA...,405,12,44.44,0,0,4,14.81,4,14.81,3,0,0,0,0,7,
ANDON GORGASIEL,ATHLETIC CLUB,101,14,50,5,35.71,12,42.56,7,25,3,0,0,0,0,10,
ÁNGEL CORREA,ATLÉTICO DE MADRID,679,25,92.09,0,0,3,10.71,3,10.71,3,1,0,3,0,0,3
ANTE BUDMIR,CA OSAGRINA,2065,27,100,12,44.44,24,88.59,12,44.44,3,0,15,6,0,21,
ATOR RIBBAL,REAL BETE,8:00,20,71.42,1,5,7,25,6,21.43,3,0,0,0,10,,
AUGUSTO BAIALLA,NAVO VALLECAMO,2070,23,82.14,23,100,23,82.14,0,0,3,0,0,0,0,26,
AYOZE FÈREZ,VILLANBELI CF,1500,21,77.78,7,33.33,14,51.85,7,29.32,3,0,0,11,0,0,16
BRIVAN ZABAGOZA,CA OSÁSIRIA,1443,21,77.78,2,0.52,18,66.67,16,59.26,3,0,0,1,0,0,24
CÉSAR TARRIGA,VALLENCIA CF,2207,25,99.29,24,96,25,99.29,1,3.57,3,0,0,2,0,1,39
CORA DA COSTA,GETAPE OF,605,11,32.09,1,0,9,25.34,8,28.57,3,0,0,1,0,0,5
DAMADA ROCHÈJUEZ,RC OLLIA,714,14,50,5,35.71,7,25,2,7.14,3,0,0,0,0,18,
DANI RABA,CD LEGAMES,1196,20,71.43,3,15,15,53.57,12,42.98,3,0,0,5,1,0,16
DAVID LOPEZ,GERONA FC,1929,23,82.94,20,85.06,22,78.57,2,7.44,3,0,0,1,0,0,28
FEJERICO VALVERDE,REAL MADRID,2008,26,2.86,20,76.22,25,89.29,5,17.86,3,0,0,0,22,,
FERMÍN LÓPEZ,FC BARCELONA,630,7,62.96,1,5.98,6,22.22,5,18.52,3,1,0,3,0,8,
GIOVANI LO CELSO,REAL SETIS,1015,16,57.14,6,27.5,11,20.79,5,17.86,3,0,0,7,0,0,14
HUBO DRIBO,VALSINGA CF,1703,22,78.57,12,54.55,20,71.42,8,28.57,3,0,0,7,0,1,24
JESÚS VÁZQUEZ,VALENCIA CF,624,13,46.42,3,23.08,9,28.57,5,17.96,3,0,0,0,0,15,
JOIN PROHECO,REAL SOCIEDAD,638,11,39.29,5,45.46,7,25,2,7.14,3,0,0,0,0,9,
JORGE HERRANDO,CA OSARINA,774,11,40.74,8,72.73,9,29.63,0,0,3,0,0,0,0,12,
JORGE SÁENZ,CD LEGAMÉS,985,15,53.57,8,53.33,11,32.99,3,10.71,3,0,1,0,0,10,
JOSE CAMPABA,UD LAS PALMAS,1015,18,64.29,0,0,13,46.41,13,46.43,3,0,0,0,0,15,
JUAN FOTYH,(10) VILLABREAL CF,721,11,40.74,8,72.73,0,33.33,1,2.7,3,0,0,1,0,0,7
JUAN HELERIAS,(12) GETAFE CF,2009,27,96.42,21,77.78,22,78.57,1,3.57,3,0,0,0,0,20,
JUDE BELLINGHAM,(20) REAL MADRID,190,22,78.57,13,50.09,22,78.57,0,22.14,3,1,0,7,1,0,22
LANINE RAMAL MASRA...,FO BARCELONA,1972,24,68.8,12,50,22,81.48,10,37.04,3,0,0,6,2,0,19
