NOMBRE,EQUIPO,MJ,PJ,%PJ,PC,%PC,PT,%PT,PS,%PS,TA,TR,SA,G,PR,GPP,GE
GERARIO MORENO,VILLARREA CF,600,12,44.44,0,0,6,22.22,6,22.22,0,0,3,1,0,9,
GERMAN GARCÍA,REAL SETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
GERMAN VALLERA,ELCHE CF,142,8,28.57,0,0,1,3.57,1,3.57,0,0,0,0,0,4,
GERÓNIMO SPINA,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GORKA RIVERA,GETAFF CF,10,1,3.57,0,0,0,0,0,0,0,0,0,0,0,0,
GORZALO GARCÍA,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRECORIE SWIDERSKI,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUILLE FERNÁNDEZ,FORMACELONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUILLEM TRILLA,COLESAMÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUILLERINE SOUSA CAL.,REAL SETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HANZA BELLARI,VALSINGA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
HORATIN MOLDOVAN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
HUBO NOVOA,DEPORTIVO ALAVÉS,234,5,17.86,2,40,2,7.14,0,0,0,0,0,0,0,6,
IBAXI RIPÉREZ,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IBAXI WILLUMAS,ATKLETIC CLUB,2227,27,96.43,18,66.87,25,89.29,7,25,0,0,5,1,0,21,
IÑIGO ARQUIBIDE,CA OSAGUNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ISRAEL DOMINGUEZ,REVILLA FC,17,1,3.57,0,0,0,0,0,0,0,0,0,0,0,0,
ISRAEL MODA,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IVÁN CHÉLLAR,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IVÁN GIL,SD EBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IVÁN JUANE,VALLENCIA CF,191,5,17.86,0,0,2,7.41,2,7.41,0,0,0,0,0,5,
IVÁN WILLAR,RC CELTA,250,4,14.29,4,100,4,14.29,0,0,0,0,0,0,0,9,
JACISON PORCOO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JACISON PORCOO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JACOSO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JACOSO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAIME DOMÉRICSI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAIME DOMÉRICSI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAN OBLAK,ATLÉTICO DE MADRID,2430,27,96.42,27,100,27,96.42,0,0,0,0,0,0,0,22,
JAN OBLAK,ATLÉTICO DE MADRID,2430,27,96.42,27,100,27,96.42,0,0,0,0,0,0,0,22,
JAN SALAS,RCD MALLORCA,17,2,7.14,0,0,0,0,0,0,0,0,0,0,0,2,
JAN SALAS,RCD MALLORCA,17,2,7.14,0,0,0,0,0,0,0,0,0,0,0,2,
JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JAYI LLABRES,CD ELDENNE,58,1,3.57,0,0,1,3.57,1,3.57,0,0,0,0,0,1,
JAYI LLABRES,CD ELDENNE,58,1,3.57,0,0,1,3.57,1,3.57,0,0,0,0,0,1,
JAYI MARTÍNEZ,SD EBRAF,5,1,3.7,0,0,0,0,0,0,0,0,0,0,0,1,
JAYI MARTÍNEZ,SD EBRAF,5,1,3.7,0,0,0,0,0,0,0,0,0,0,0,1,
JESÚS NAVAS,,496,15,53.57,0,0,3,10.71,3,10.71,0,0,1,0,0,8,
JESÚS OVICINO,DEPORTIVO ÁLAVÉS,208,5,17.86,4,80,4,14.29,0,0,0,0,0,0,0,8,
JESÚS RODRIQUEZ,REAL BETIS,707,12,42.96,0,0,9,32.34,9,32.34,0,0,0,1,1,0,8
JESÚS VALLESO,REAL MADRID,10,1,3.57,0,0,0,0,0,0,0,0,0,0,0,2,
JIRÍ LEJÁCEK,GEIZAFE CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOÃO URBÁEZ,(4) COLEGARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOAQUÍN PANCHELLI,CO MINANCÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOEL ROCA,CO MINANCÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOIN BALDA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JOIN MAGINAZZLIAJA,CÓROBOLCF,6,2,714,0,0,0,0,0,0,0,0,0,0,0,0,
JOIN MONTIEL,INVO VALLECANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JONES EL ARDELLAQUI,RC GELTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JORGE BENTO,GETAFLCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOSÉ ÁNGEL LÓPEZ,(3) RIO ESPANYOL DE BA...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOSE ANNAIZ,CA OSARINA,57,9,23.33,1,-11.11,0,0,1,3.7,0,0,0,0,0,1,
JOSE GRADEIRA,ROD ESPANYOL DE BA...,569,10,27.04,2,20,7,25.93,5,18.52,0,0,0,0,0,12,
JOSE LUIS CATALÁ VAZ...,ROO ESPANYOL DE BA...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOSE MARÍA ANDRES ...,REAL MADRID,7,1,3.57,0,0,0,0,0,0,0,0,0,0,0,0,
JOSEPH ADOO,REAL VALLADOLD CF,248,4,14.29,2,50,3,10.71,1,3.57,0,0,0,0,0,9,
JUAN BERNAT,(5) GETAFE CF,503,15,55.56,1,6.67,5,18.52,4,14.81,0,0,0,0,0,7,
JUAN CARLOB MARTHL,(7) GIROMA FC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
JUAN MUSSO,(13) ATLÉTICO DE MADRID,90,1,3.57,1,100,1,3.57,0,0,0,0,0,0,0,0,
JUAN PERDO GIL BUENO,(19) BAYO VALLECAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KAVNER FLENZEZNELO,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LADELAY INSECI,GIRONA FC,1920,10,67.95,18,94.74,18,64.2,0,0,0,0,2,1,0,26,
LAJO AGUILAR,ALBACETE RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LAUREANO ANTONIO V...,SO EBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LEANDRO ANTONETTI,SEVILLA FC,10,1,3.57,0,0,0,0,0,0,0,0,0,0,0,,
LEO ROMÁN,RCD MALLORCA,450,5,17.88,5,100,5,17.88,0,0,0,0,0,0,7,,
LINE LOCIO RES 20NOR,VILLABREAL CF,557,7,25.05,6,95.71,6,22.22,0,0,0,0,0,0,0,7,
LIOCA DE LA TORRE,,4,1,3.57,0,0,0,0,0,0,0,0,0,0,0,0,
LIOCA LOIR,GELNE CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LIOCAS ALCÁZAR,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LIOCAS GARCÍA MADRI...,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LIOCAS OCAMPOS,,176,2,7.14,1,50,2,7.14,1,3.57,0,0,0,0,0,3,
LLAS POSTIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LLORENO SERRED,RCD ESPANTO LICE BA...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LORENZO AGUA DO HE...,REAL MADRID,4,2,7.14,0,0,0,0,0,0,0,0,0,0,0,,
LUKA ROMERO,,197,6,21.41,0,0,2,214,2,214,0,0,0,1,0,5,
LUKEN RETRA,REAL SOCIEDAD,7,1,3.57,0,0,0,0,0,0,0,0,0,0,0,0,
MAC VIDAL,PC CELTA,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MACHO VIJIAL,REAL OVIEZO,120,5,18.52,1,20,1,3.7,0,0,0,0,0,0,0,5,
MALCOMA ARDUJLAI AL.,REAL ZANAGOZA,18,1,3.57,0,0,0,0,0,0,0,0,0,0,1,,
MANU BUSHO,SEVILLA FC,101,6,21.42,0,0,1,3.57,1,3.57,0,0,1,0,0,2,
MANUEL GONZÁLEZ F...,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARCIAN SAMILARI,ATLETICO CLUB,236,6,21.42,0,0,2,7.14,2,7.14,0,0,0,1,0,0,3
MARCO DE LAS BIAS,BATO VALLECANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MARCOS LLORENTE,ATLETICO DE MADRID,182,25,82.14,15,56.52,18,64.29,5,17.66,0,1,0,2,0,0,17
MARIO DIMITROVIO,COLERAMÈS,1960,22,78.57,22,100,22,78.57,0,0,0,0,0,0,0,26,
MARIO MAROTO,REAL VALLADOLDOF,18,1,3.57,0,0,0,0,0,0,0,0,0,0,0,1,
MARO DOMENECH,RICH MALLORICA,115,3,10.71,0,0,2,214,2,214,0,0,0,0,0,1,
MARO-AHIRÉ TES SITE...,PC BARCELONA,405,6,22.22,5,85.35,6,22.22,1,3.7,0,0,0,0,0,5,
MARTIN CHELLAR,GEFANT OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MARTIN CONDE,PC CELTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MARTIN TEJÓN,VALENCIA OF,45,4,14.29,0,0,0,0,0,0,0,0,0,0,1,,
MATEAS ÁRBOL,SEVILLA FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MATEO MEJÍA,SPULLA FC,10,1,3.57,0,0,0,0,0,0,0,0,0,0,0,,
MAX AJARDIS,VALENCIA CF,30,1,3.57,0,0,0,0,0,0,0,0,0,0,0,2,
MAXIMILIANO CUATREZ,,90,1,3.57,1,100,1,3.57,0,0,0,0,0,0,0,1,
MORIZL ÁNGEL MORDO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MOUCISAR DIAGNARY,VALENCIA CF,195,5,17.86,1,20,2,7.14,1,3.57,0,0,0,1,0,1,
MUNER_MOJUNA,ATLETICO DE MADRID,1200,21,75,9,42.95,15,53.57,6,21.43,0,0,0,0,8,,
NANA GARCÍA,RACING CLUB FERROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NER ALMEÑA,,46,2,7.14,0,0,0,0,0,0,0,0,0,0,0,1,
NER ÁLVAREZ,VILLARREAL E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NER BACHILLER,COLESAMÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NER BENTO,CO MINANDÉS,35,2,7.41,0,0,0,0,0,0,0,0,0,0,0,2,
NER CORDOBA,VALSINGA CF,13,2,7.14,0,0,0,0,0,0,0,0,0,0,0,0,
NICO SERRANDO,REAL SPORTING,170,4,14.5,0,0,1,3.57,1,3.57,0,0,0,0,0,2,
NOAH DARYNCH,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NOREL MERDT,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NURE FUSIN,,180,2,7.14,2,100,2,7.14,0,0,0,0,0,0,0,1,
OBER GASTESI,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OLIVER MCBRINNE,UD LAS PALMAS,1102,24,85.71,4,76.67,11,28.99,7,25,0,0,0,0,0,24,
OMAR SAOK,RCD ESPANTOL DE BA...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ÓSOAR DE MARCOS,ATHLETIC CLUB,1231,21,75,9,42.86,13,46.43,4,14.29,0,0,0,0,0,9,
PABLO BIRTO,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PABLO GARCÍA,REAL BETIS,25,2,7.14,0,0,0,0,0,0,0,0,0,0,0,,
PABLO INYENA,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PABLO TORRE,FC BARCELONA,250,8,29.83,0,0,4,14.81,4,14.81,0,0,0,3,0,4,
PABLO VALENCIA,CA CABARNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PAPA DAME BA,GIRONA FC,47,1,3.57,0,0,0,0,0,0,0,0,0,0,0,,
PED.CANALES,ATHLETIC CLUB,112,5,17.86,0,0,1,3.57,1,3.57,0,0,0,0,0,1,
PEDRO.ALEMAR,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PEDRO.CRITIZ,CORDOBA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PELAVO FERNÁNDEZ,MAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PERE GARCÍA,RICO MALLORCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PETER FEDERICO GOV...,GETAFE CF,327,12,42.56,0,0,1,3.57,1,3.57,0,0,0,0,0,2,
PMI CABARES,DEPORTIVO ALAYÉS,286,13,48.15,0,0,1,2.7,1,3.7,0,0,0,1,1,0,2
PMI LÓPEZ,LENS,45,1,3.57,0,0,0,0,0,0,0,0,0,0,0,2,
PMI NAVARRO,VILLARREAL CF,517,10,37.04,2,20,3,11.11,1,3.7,0,0,0,0,0,8,
PO. TIRENÁN,RICO ESPANYOL DE BA...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
RAFAEL ROMERO,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
RIBEÑI GÓMEZ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
RIBEÑI IRANZO,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
RIBEÑI VARGAS,SEVILLA FC,500,9,32.34,0,0,7,25,7,25,0,0,0,1,0,7,
ROBERTO LÓPEZ,,37,12,42.56,2,16.67,3,10.71,1,3.57,0,0,0,0,8,,
RODRIGO INÚJELME,ATLÉTICO DE MADRID,-416,12,42.56,1,8.33,4,14.29,3,10.71,0,0,0,0,4,,
RODRIGO SÁNCHEZ IL,,117,3,10.71,0,0,1,3.57,1,3.57,0,0,0,0,2,,
RODRIGO SINA DE GOL,REAL MADRID,1710,25,89.23,5,20,20,71.45,15,53.57,0,0,0,6,1,16,
ROGER HINOXO,RCO ESPANTOL DE BIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SAXU SÁNCHEZ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SEBASTIKH VALLER,,405,8,28/37,1,12/50,5,17/86,4,14/30,0,0,0,0,0,9,
SEBAY WADE,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SEREIO ARRIBAS,REAL BETIS,30,1,3.57,1,100,1,3.57,0,0,0,0,0,0,0,,
SEREIO CARRERA,RC GELTA,1047,16,53.57,9,60,12,42.96,3,10.71,0,0,0,0,0,12,
SERIO LOCANO,RIVO VALLECANO,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SERIO MESTRE,REAL MADRIO,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SERIO RUIZ,UOLAS PALMAS,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SERIO VIERA,UOLAS PALMAS,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEVU CLIA,UD ALAREÑA,163,4,14.39,0,0,2,734,2,734,0,0,0,0,0,3,
SIEBE VALDER HETDER,FORE FAILLI,98,2,7/4,1,5/0/00,1,2/37,0,0/00,0,0,0,0,0,0,2
STAMB EUMBO,SEVILLA FO,248,11,39/30,0,0,2,10/71,2,10/71,0,0,0,1,0,0,6
STIF EBIK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TAJOR BUCHAMAN,VILLANNEAL OF,174,5,18/52,0,0,1,2/70,1,2/70,0,0,0,0,0,4,
TAKUMA ASANO,RCD MALLORCA,631,17,60/71,0,0,10,35/71,10,35/71,0,0,0,2,0,10,
THOMAS LEMAR,ATLÉTICO DE MADRID,30,2,214,0,0,0,0,0,0,0,0,0,0,0,2,
THREADY COUNTORS,REAL MADRID,2100,24,85.71,24,100,24,85.71,0,0,0,0,0,0,1,22,
TONI FERNÁNDEZ,FO BARCELONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TUICO ALLENGE,,1,1,2/37,0,0/00,0,0/00,0,0/00,0,0,0,0,0,0,
UMAI EGLIZZ,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
UMAI GARCÍA,CA OSASSINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
UMAI MARRIERO,REAL SOCIEDAD,90,1,3.57,1,100,1,3.57,0,0,0,0,0,0,0,1,
UMAI SIMÓN,ATHLÉTIC CLUB,900,11,20.29,11,100,11,20.29,0,0,0,0,0,0,0,9,
VALENTIN BARCO,STRASBOURG,295,7,25,1,14.29,3,10.71,2,7.14,0,0,0,0,0,4,
VALENTIN PEZZOLESI,UD LAS PALMAS,5,1,3.57,0,0,0,0,0,0,0,0,0,0,0,1,
VICENT ABRIL,VALENCIA OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
VICENTE GUATIA,RC CELTA,2500,34,85.71,24,100,24,85.71,0,0,0,0,0,0,22,,
VÍCTOR MUÑOZ VILLA...,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
VÍCTOR PIUG,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
VÍCTOR VALDEPEÑAS T...,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
VLADRES AV ISKAPTYTS...,GIROMA FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WARREN MADRIGAL,VALENCIA OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WILLIAM SILVA FC CARL,HEAL BETIS,255,5,17.86,1,20,4,M.29,2,10.71,0,0,0,0,0,1,
WILLY KAMEWALA,VILLARREAL CF,792,11,40.74,8,72.73,10,37.04,2,7.41,0,1,0,0,0,0,8
WOODECH SCIZESNY,FO BANDEZIONA,630,7,25.93,7,100,7,25.92,0,0,0,0,0,0,0,4,
YOEL LAGO,RC-CELTA,135,2,734,1,50,2,734,1,3.57,0,0,0,0,0,2,
YOLNSET LENJEDIM,REAL MAURID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
