Amath Ndiaye,Real Valladolid CF,0,1,32,27,5,77,56,5,0,0,0,0,0,0,0,0
Ander Barrenetxea,Real Sociedad,1,21,156,138,18,366,253,27,1,0.07,0,0.07,0.07,0,0,0
Ángel Correa,Atlético de Madrid,6,7,94,86,8,215,167,4,0,0.16,0,0.16,0,0.16,0,0
Ángel Ortiz,Real Betis,0,10,51,39,12,156,118,4,0,0,0,0,0,0,0,0
Ansu Fati,FC Barcelona,0,1,15,10,5,62,53,0,2,0,0,0,0,0,0,0
Ante Budimir,CA Osasuna,0,15,342,127,215,307,170,1,1,0.28,0,0.28,0.2,0,0.07,0
Antoine Griezmann,Atlético de Madrid,72,28,158,121,37,1029,761,53,9,0.28,0.07,0.21,0.24,0.03,0,0.03
Antonino Jastin García López,Girona FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoniu Roca,RCD Espanyol de Barcelona,0,10,83,68,15,102,72,1,0,0,0,0,0,0,0,0
Antony Matheus dos Santos,Real Betis,9,13,76,67,9,305,244,7,2,0.18,0,0.18,0.18,0,0,0
Arkaitz Mariezkurrena,Real Sociedad,0,1,9,8,1,17,8,1,0,0.5,0,0.5,0.5,0,0,0
Arnaut Danjuma,Girona FC,21,9,87,84,3,299,232,12,0,0.14,0,0.14,0.05,0.09,0,0
Asier Villalibre,Deportivo Alavés,0,1,63,34,29,62,38,3,1,0.17,0,0.17,0.17,0,0,0
Assane Diao,Como,0,5,45,31,14,60,44,1,0,0.17,0,0.17,0,0.17,0,0
Ayoze Pérez,Villarreal CF,0,18,161,135,26,235,184,3,4,0.28,0.03,0.26,0.03,0.18,0.08,0
Bertug Yildirim,Getafe CF,0,6,184,70,114,144,76,3,0,0.07,0,0.07,0,0,0.07,0
Bojan Miovski,Girona FC,0,7,80,46,34,105,80,1,0,0.25,0,0.25,0.25,0,0,0
Borja Iglesias,RC Celta,0,8,156,125,31,363,259,14,7,0.22,0,0.22,0.09,0.09,0.04,0
Borja Mayoral,Getafe CF,0,2,82,42,40,130,96,6,0,0.4,0,0.4,0,0.4,0,0
Bryan Gil,Girona FC,14,34,246,240,6,668,588,11,0,0.13,0,0.13,0.08,0,0.04,0
Bryan Zaragoza,CA Osasuna,16,13,179,169,10,320,209,20,3,0.04,0,0.04,0,0.04,0,0
Carles Pérez,Getafe CF,7,29,187,152,35,250,173,6,1,0.12,0,0.12,0.12,0,0,0
Carlos Lumbreras,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martín,Deportivo Alavés,0,29,175,148,27,286,191,4,3,0.12,0,0.12,0,0.06,0,0
Carlos Vicente,Deportivo Alavés,58,28,275,207,68,543,377,17,3,0.18,0.06,0.12,0.06,0.12,0,0
Cédric Bakambu,Real Betis,0,4,76,43,33,91,63,0,1,0.11,0,0.11,0,0,0.11,0
Chidera Ejuke,Sevilla FC,22,13,131,122,9,348,280,14,2,0.12,0,0.12,0,0.12,0,0
Chimy Ávila,Real Betis,0,7,71,56,15,187,132,11,0,0.13,0.06,0.06,0.06,0.06,0,0
Coba da Costa,Getafe CF,1,21,107,83,24,156,100,3,2,0.1,0,0.1,0,0,0.1,0
Cristhian Stuani,Girona FC,0,4,51,30,21,80,56,0,0,0.3,0,0.3,0,0.25,0.05,0
Cristian Portugués Manzanera,Girona FC,8,7,35,22,13,101,82,0,0,0,0,0,0,0,0,0
Cucho Hernández,Real Betis,0,5,59,33,26,116,81,6,1,0.17,0,0.17,0,0.17,0,0
Cyle Larin,RCD Mallorca,0,7,213,110,103,218,146,3,0,0.23,0,0.23,0.09,0.14,0,0
Dani Gómez,Real Zaragoza,0,3,63,32,31,81,60,0,0,0.15,0.08,0.08,0,0.15,0,0
